Date,Open,High,Low,CLose,Volume,VWAP
1-Jul-25,1500.65,1531.2,1500.65,1528.3,2842857.0,-1.0
30-Jun-25,1516.05,1524.95,1496.4,1500.65,439730.0,-1.0
27-Jun-25,1498.05,1521.7,1497.1,1516.05,340711.0,-1.0
26-Jun-25,1469.95,1498.7,1465.1,1495.2,366253.0,-1.0
25-Jun-25,1462.05,1472.0,1460.15,1467.25,143268.0,-1.0
24-Jun-25,1466.75,1475.0,1443.3,1450.05,3665221.0,-1.0
23-Jun-25,1442.7,1463.0,1442.0,1456.35,289434.0,-1.0
20-Jun-25,1430.0,1470.0,1428.1,1464.65,690290.0,-1.0
19-Jun-25,1430.0,1439.85,1426.0,1433.65,702530.0,-1.0
18-Jun-25,1430.0,1443.0,1425.55,1429.85,277714.0,-1.0
17-Jun-25,1438.0,1446.0,1425.8,1431.3,2874904.0,-1.0
16-Jun-25,1425.05,1441.9,1425.0,1438.55,350578.0,-1.0
13-Jun-25,1420.0,1435.35,1414.0,1427.65,313642.0,-1.0
12-Jun-25,1452.2,1456.85,1434.05,1439.6,284782.0,-1.0
11-Jun-25,1444.9,1468.0,1442.8,1448.75,654096.0,-1.0
10-Jun-25,1448.6,1453.4,1436.5,1438.6,481509.0,-1.0
9-Jun-25,1454.55,1456.9,1445.1,1448.6,452344.0,-1.0
6-Jun-25,1443.65,1451.35,1436.75,1443.55,1284697.0,-1.0
5-Jun-25,1426.95,1454.5,1423.4,1442.65,427025.0,-1.0
4-Jun-25,1410.4,1425.0,1406.15,1423.2,312944.0,-1.0
3-Jun-25,1419.8,1427.05,1403.0,1405.95,1503679.0,-1.0
2-Jun-25,1415.95,1417.65,1395.9,1414.45,469571.0,-1.0
30-May-25,1417.8,1430.75,1410.0,1420.8,228179.0,-1.0
29-May-25,1413.35,1420.15,1408.95,1417.4,309419.0,-1.0
28-May-25,1421.7,1422.2,1410.2,1411.15,260943.0,-1.0
27-May-25,1429.15,1437.3,1414.0,1421.75,1302990.0,-1.0
26-May-25,1430.4,1441.2,1426.05,1434.15,330120.0,-1.0
23-May-25,1406.0,1433.7,1406.0,1426.45,386757.0,-1.0
22-May-25,1420.0,1422.5,1397.4,1409.4,388189.0,-1.0
21-May-25,1424.95,1436.1,1418.35,1428.9,507422.0,-1.0
20-May-25,1435.65,1444.55,1421.2,1425.3,670532.0,-1.0
19-May-25,1454.3,1454.3,1438.05,1441.65,550729.0,-1.0
16-May-25,1453.75,1460.2,1447.6,1456.6,338754.0,-1.0
15-May-25,1424.25,1461.0,1413.0,1453.8,479370.0,-1.0
14-May-25,1418.1,1429.8,1415.5,1424.25,320533.0,-1.0
13-May-25,1433.2,1447.35,1413.0,1416.2,992150.0,-1.0
12-May-25,1400.0,1438.9,1400.0,1436.55,792769.0,-1.0
9-May-25,1372.05,1395.0,1372.05,1377.75,388444.0,-1.0
8-May-25,1404.95,1420.5,1397.05,1404.85,573809.0,-1.0
7-May-25,1412.05,1424.9,1402.15,1406.0,262093.0,-1.0
6-May-25,1432.0,1432.0,1410.35,1420.55,311563.0,-1.0
5-May-25,1427.0,1439.75,1427.0,1431.1,428786.0,-1.0
2-May-25,1408.4,1426.0,1408.4,1421.95,3746656.0,-1.0
30-Apr-25,1404.9,1411.85,1373.5,1408.35,3375628.0,-1.0
29-Apr-25,1370.35,1410.9,1370.2,1400.3,6415191.0,-1.0
28-Apr-25,1332.35,1374.9,1320.15,1368.5,1269304.0,-1.0
25-Apr-25,1301.0,1325.25,1288.0,1300.05,1543897.0,-1.0
24-Apr-25,1298.65,1304.45,1290.5,1301.65,281535.0,-1.0
23-Apr-25,1295.85,1305.75,1285.3,1299.9,420698.0,-1.0
22-Apr-25,1300.0,1303.0,1286.5,1290.95,759456.0,-1.0
21-Apr-25,1271.55,1300.0,1266.75,1295.85,729259.0,-1.0
17-Apr-25,1238.65,1279.45,1227.4,1274.55,392500.0,-1.0
16-Apr-25,1239.85,1240.9,1229.05,1238.65,361521.0,-1.0
15-Apr-25,1256.0,1256.0,1237.0,1239.9,719043.0,-1.0
11-Apr-25,1200.0,1222.45,1197.05,1219.3,684519.0,-1.0
9-Apr-25,1172.4,1189.5,1169.1,1185.6,495957.0,-1.0
8-Apr-25,1177.85,1196.8,1163.85,1182.4,894893.0,-1.0
7-Apr-25,1125.0,1171.0,1115.55,1166.2,1433461.0,-1.0
4-Apr-25,1240.0,1245.2,1192.85,1204.7,785059.0,-1.0
3-Apr-25,1238.95,1251.2,1234.55,1248.6,532522.0,-1.0
2-Apr-25,1250.35,1256.0,1243.8,1251.1,243303.0,-1.0
1-Apr-25,1274.6,1277.8,1250.0,1252.45,722008.0,-1.0
28-Mar-25,1279.3,1295.7,1269.05,1275.0,987799.0,-1.0
27-Mar-25,1275.05,1285.15,1272.05,1278.4,278220.0,-1.0
26-Mar-25,1290.25,1293.95,1269.0,1272.55,658347.0,-1.0
25-Mar-25,1307.0,1307.0,1283.0,1285.4,865836.0,-1.0
24-Mar-25,1286.4,1305.3,1281.0,1301.35,861533.0,-1.0
21-Mar-25,1270.05,1284.5,1270.05,1276.45,361299.0,-1.0
20-Mar-25,1254.2,1272.8,1250.0,1268.55,612659.0,-1.0
19-Mar-25,1242.0,1252.75,1239.35,1247.7,295426.0,-1.0
18-Mar-25,1243.5,1248.1,1234.9,1238.8,1740575.0,-1.0
17-Mar-25,1247.0,1257.2,1233.25,1240.4,422823.0,-1.0
13-Mar-25,1262.9,1264.0,1244.0,1247.4,302876.0,-1.0
12-Mar-25,1256.85,1261.55,1244.0,1256.6,426299.0,-1.0
11-Mar-25,1238.05,1249.55,1230.0,1247.4,305952.0,-1.0
10-Mar-25,1249.1,1258.0,1235.5,1238.2,245117.0,-1.0
7-Mar-25,1214.05,1254.5,1212.3,1249.1,794738.0,-1.0
6-Mar-25,1201.0,1214.0,1185.5,1210.55,652420.0,-1.0
5-Mar-25,1162.0,1183.05,1158.0,1175.75,348560.0,-1.0
