Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-Aug-25,1496.25,1501.45,1485.9,1487.6,1494.135838,196138,9831,293056815,126295,64.39,15.55,-8.65
21-Aug-25,1508,1508,1484.15,1496.7,1496.780045,161665,7394,241976946,107883,66.73,23.85,-11.3
20-Aug-25,1440,1499,1439.9,1495.85,1478.220062,353451,15767,522478359,202711,57.35,59.1,55.85
19-Aug-25,1434.5,1449.7,1434.5,1440,1443.768482,564936,15991,815636791,332541,58.86,15.2,5.5
18-Aug-25,1468.45,1468.45,1429.65,1435.6,1440.737305,86431,4181,124524366,39297,45.47,38.8,-32.85
14-Aug-25,1427.85,1470,1427.4,1447.45,1453.691187,215629,7892,313457977,68751,31.88,42.6,19.6
13-Aug-25,1428.95,1434,1422.2,1426,1426.918963,317483,8675,453022513,120297,37.89,11.8,-2.95
12-Aug-25,1429.8,1441,1421.15,1424.1,1427.431393,704625,14478,1005803845,382156,54.24,19.85,-5.7
11-Aug-25,1420,1433.2,1414.5,1428,1424.482154,130477,9205,185862158,65957,50.55,18.7,8
08-Aug-25,1428.95,1433.35,1417.05,1423.65,1424.265903,317247,16554,451844085,230315,72.6,16.3,-5.3
07-Aug-25,1435,1442.7,1414.55,1437.65,1426.014686,195425,6380,278678920,142654,73,28.15,2.65
06-Aug-25,1455.7,1455.7,1430.3,1435.75,1442.143741,96277,5059,138845273,48781,50.67,25.4,-19.95
05-Aug-25,1475.2,1479.9,1454.75,1459.75,1459.61963,491243,8755,717027926,406000,82.65,25.15,-15.45
04-Aug-25,1466,1482.5,1451.2,1480.35,1465.294254,144987,10425,212448618,74200,51.18,31.3,14.35
01-Aug-25,1496.95,1498.75,1466.1,1470.6,1480.074784,150754,8360,223127194,71262,47.27,32.65,-26.35
31-Jul-25,1507.55,1526.7,1497.1,1508.6,1509.479711,827621,11605,1249277108,152157,18.38,29.6,1.05
30-Jul-25,1510.05,1521.5,1505.7,1519.05,1514.760838,159917,6779,242236009,97275,60.83,15.8,9
29-Jul-25,1510.45,1517.2,1496.6,1513.85,1508.002125,341189,19794,514513737,155279,45.51,20.6,3.4
28-Jul-25,1518.95,1519.35,1482.7,1516.1,1507.091443,287153,16177,432765829,119766,41.71,36.65,-2.85
25-Jul-25,1543,1549.75,1511.35,1515.6,1524.514145,463200,30329,706154952,311786,67.31,38.4,-27.4
24-Jul-25,1581,1581,1548.2,1553.55,1557.835768,380211,14311,592306295,204316,53.74,32.8,-27.45
23-Jul-25,1579.8,1592.4,1551,1574.4,1580.209371,239856,11330,379022699,147472,61.48,41.4,-5.4
22-Jul-25,1579.95,1585.6,1567,1570.1,1573.594003,571499,21780,899307399,296822,51.94,18.6,-9.85
21-Jul-25,1579.15,1589,1568.25,1584.6,1578.985266,120472,7358,190223513,61540,51.08,20.75,5.45
18-Jul-25,1588.05,1599,1579.9,1586.55,1587.568346,369627,3592,586808125,84023,22.73,19.1,-1.5
17-Jul-25,1608.55,1609.75,1580.5,1582.7,1594.15121,159573,6868,254383491,104917,65.75,29.25,-25.85
16-Jul-25,1580,1612.1,1579.8,1608.6,1600.612092,60718,3183,97185965,24808,40.86,32.3,28.6
15-Jul-25,1565,1603.8,1565,1584.8,1585.327064,896680,16746,1421531072,155802,17.38,38.8,19.8
14-Jul-25,1589.2,1593.95,1560,1570.45,1590.468722,1462073,16995,2325381376,1356794,92.8,33.95,-18.75
11-Jul-25,1579,1606.95,1563.25,1594.9,1591.384605,360567,14388,573800773,200302,55.55,43.7,15.9
10-Jul-25,1637,1637,1607.55,1616.75,1617.217379,771970,6713,1248443300,103032,13.35,29.45,-20.25
09-Jul-25,1638.65,1638.65,1624,1633.9,1630.763648,400089,9116,652450597,351280,87.8,14.65,-4.75
08-Jul-25,1628.2,1646.9,1621.1,1638.65,1636.142161,549019,14124,898273133,123730,22.54,25.8,10.45
07-Jul-25,1640,1642.4,1623.05,1627.5,1634.077003,173344,5459,283257444,129058,74.45,19.35,-12.5
04-Jul-25,1628.15,1643.4,1612.4,1640.2,1627.212859,274445,8954,446580433,133332,48.58,31,12.05
03-Jul-25,1610,1632,1610,1618.15,1623.069071,95119,3954,154384707,39544,41.57,22,8.15
02-Jul-25,1616.6,1649,1604,1609.9,1629.449341,466445,14347,760048498,167023,35.81,45,-6.7
01-Jul-25,1601.3,1617,1600.9,1608.15,1607.664769,461917,15706,742607687,76598,16.58,16.1,6.85
30-Jun-25,1609.3,1614.95,1594.25,1601.3,1604.268781,187993,8194,301591301,106877,56.85,20.7,-8
27-Jun-25,1602.05,1629.95,1602.05,1608.6,1614.801082,80596,3636,130146508,27176,33.72,27.9,6.55
26-Jun-25,1615.45,1624.1,1606.55,1615,1615.501171,187926,6197,303594673,104603,55.66,17.55,-0.45
25-Jun-25,1592.95,1619.85,1586,1615.5,1606.562502,91093,3640,146346598,42184,46.31,33.85,22.55
24-Jun-25,1603.15,1606.4,1577.9,1581.55,1586.728025,930652,25603,1476691610,168722,18.13,28.5,-21.6
23-Jun-25,1600,1600.1,1576,1584.7,1586.466276,256524,8970,406966675,150465,58.66,24.1,-15.3
20-Jun-25,1619,1630,1608.65,1621.85,1616.241199,300615,11493,485866348,154221,51.3,21.35,2.85
19-Jun-25,1629.65,1629.65,1612.25,1618.5,1618.468398,188630,5213,305291694,138288,73.31,17.4,-11.15
18-Jun-25,1615,1644.45,1615,1632.8,1635.430126,659232,6720,1078127873,571757,86.73,29.45,17.8
17-Jun-25,1619.95,1647.7,1615.2,1640.15,1637.65634,2067483,30733,3385826643,1090399,52.74,32.5,20.2
16-Jun-25,1600,1634.5,1596.8,1623.75,1618.564793,436434,11680,706396707,258114,59.14,37.7,23.75
13-Jun-25,1571.05,1608.75,1570,1601.55,1593.467777,115149,5082,183486221,31116,27.02,38.75,30.5
12-Jun-25,1625.95,1627.5,1598.4,1607.4,1612.098469,176187,6694,284030793,77083,43.75,29.1,-18.55
11-Jun-25,1594.95,1634.1,1589.95,1630.7,1616.293403,420095,18115,678996777,254356,60.55,44.15,35.75
10-Jun-25,1580,1607,1577.7,1596.25,1595.426162,400500,19033,638968178,98855,24.68,29.3,16.25
09-Jun-25,1579,1587.9,1570.1,1572.55,1577.38771,292314,13135,461092511,135165,46.24,17.8,-6.45
06-Jun-25,1553.3,1568,1543.7,1564.05,1554.129043,310045,13482,481849939,89443,28.85,24.3,10.75
05-Jun-25,1552,1567.45,1542.4,1554.35,1555.754826,175186,7307,272546465,79518,45.39,25.05,2.35
04-Jun-25,1542.3,1557,1542,1551.25,1549.998227,47951,2722,74323965,16813,35.06,15,8.95
03-Jun-25,1561.8,1566.7,1535.35,1542.35,1544.282395,1190530,44376,1838514520,153231,12.87,31.35,-19.45
02-Jun-25,1562,1562,1538.75,1554.2,1551.562478,338024,16190,524465355,143654,42.5,23.25,-7.8
30-May-25,1569,1570.75,1555.1,1562.8,1564.036761,361932,8992,566074953,260083,71.86,15.65,-6.2
29-May-25,1585,1609,1577,1585.4,1593.215575,413916,13154,659457418,165230,39.92,32,0.4
28-May-25,1574.05,1587,1570.05,1572.05,1577.179954,222802,7203,351398848,151968,68.21,16.95,-2
27-May-25,1578.25,1582.8,1556.2,1570.5,1567.572211,959158,32264,1503549427,339522,35.4,26.6,-7.75
26-May-25,1569.95,1583.75,1562.35,1580.4,1578.167122,216608,6668,341843624,95429,44.06,21.4,10.45
23-May-25,1550,1586.5,1549.25,1564.5,1576.513599,328344,11155,517638781,142758,43.48,37.25,14.5
22-May-25,1562,1562,1540.05,1549.2,1551.645113,369151,12874,572791345,262231,71.04,21.95,-12.8
21-May-25,1561.65,1570,1552.15,1568.1,1566.170992,153101,5664,239782345,90810,59.31,17.85,6.45
20-May-25,1567,1583,1558.3,1560.4,1567.377522,320816,14747,502839787,52080,16.23,24.7,-6.6
19-May-25,1583.95,1583.95,1555,1559.15,1566.394781,402469,11775,630425341,181678,45.14,28.95,-24.8
16-May-25,1614.2,1614.2,1581.3,1589.75,1590.81228,230333,12414,366416565,85811,37.26,32.9,-24.45
15-May-25,1592.35,1618.85,1571.2,1613.25,1600.636779,332079,16918,531537861,161475,48.63,47.65,20.9
14-May-25,1575,1594.15,1570,1592.6,1588.74049,196636,9233,312403575,,,24.15,17.6
13-May-25,1619.6,1619.6,1564.95,1569.1,1578.137488,435421,13547,687154203,213530,49.04,54.65,-50.5
12-May-25,1535.25,1632,1534.05,1626.7,1580.075713,302933,10553,478657076,93233,30.78,97.95,91.45
09-May-25,1491.2,1511,1491.2,1507.45,1503.19849,75913,3131,114112307,44339,58.41,19.8,16.25
08-May-25,1509.95,1516.4,1501.35,1511.25,1508.955829,170453,7751,257206048,90537,53.12,15.05,1.3
07-May-25,1501.3,1518.75,1495.05,1508.5,1508.137307,109324,3869,164875603,49718,45.48,23.7,7.2
06-May-25,1509,1515.5,1499.1,1511.3,1510.118543,94902,3665,143313270,57886,61,16.4,2.3
05-May-25,1507.35,1522.45,1502.75,1507.7,1512.131316,105684,3653,159808086,67948,64.29,19.7,0.35
02-May-25,1504.95,1523.7,1496.4,1506.45,1510.089799,92930,5510,140332645,39022,41.99,27.3,1.5
30-Apr-25,1497.4,1508,1486,1498.9,1500.548533,119269,4233,178968923,61696,51.73,22,1.5
29-Apr-25,1482.2,1509.6,1474.5,1497.4,1491.329357,398565,19745,594391685,196864,49.39,35.1,15.2
28-Apr-25,1483,1488.7,1465.3,1482.2,1477.710622,532448,19955,786804065,382206,71.78,23.4,-0.8
25-Apr-25,1474.1,1501.5,1464,1480.2,1484.163284,236153,8768,350489612,101477,42.97,37.5,6.1
24-Apr-25,1474.75,1483,1461.15,1471.3,1469.732903,179407,5968,263680371,118478,66.04,21.85,-3.45
23-Apr-25,1447.35,1487.85,1441.55,1474.85,1471.624651,329800,9413,485341810,130213,39.48,46.3,27.5
22-Apr-25,1448.95,1448.95,1419.6,1422.4,1425.470896,391747,12926,558423947,213934,54.61,29.35,-26.55
21-Apr-25,1409,1471.5,1409,1450.45,1450.616073,592543,20729,859552400,238622,40.27,62.5,41.45
17-Apr-25,1404.85,1429.4,1378.6,1420.2,1396.35915,771330,23993,1077053703,480760,62.33,50.8,15.35
16-Apr-25,1429.95,1429.95,1396.95,1413,1412.110084,345038,18364,487231639,199031,57.68,33,-16.95
15-Apr-25,1440.4,1447,1409.1,1427.25,1423.3278,383484,16746,545823438,221545,57.77,37.9,-13.15
11-Apr-25,1414.65,1438.55,1397.65,1410.6,1421.24942,493400,18110,701244464,266598,54.03,40.9,-4.05
09-Apr-25,1408.2,1408.2,1381.35,1404.2,1394.304927,263142,16382,366900187,167508,63.66,26.85,-4
08-Apr-25,1427,1456.5,1415,1429.3,1436.983918,415932,18641,597687595,116179,27.93,41.5,2.3
07-Apr-25,1350,1406.85,1307.1,1397.8,1361.767449,1050658,50183,1430751864,584310,55.61,99.75,47.8
04-Apr-25,1466.95,1472,1448,1452.3,1460.051752,353376,25682,515947248,193774,54.84,24,-14.65
03-Apr-25,1522.9,1530,1485.1,1497,1499.30408,293518,14229,440072735,169916,57.89,44.9,-25.9
02-Apr-25,1531.5,1555.5,1531.5,1549.85,1547.105368,136844,7745,211712087,65727,48.03,24,18.35
01-Apr-25,1535.1,1547.7,1518,1527.5,1529.650664,265555,13575,406206382,111285,41.91,29.7,-7.6
28-Mar-25,1594.95,1597.8,1565.05,1570.4,1576.518682,229420,15363,361684916,109486,47.72,32.75,-24.55
