Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-December-2024,1850.10,1882.00,1836.00,1879.20,1865.416562151375097874,144317,8054,269211322.00,70968,49.18,46.00,29.10
29-November-2024,1855.35,1876.75,1845.65,1858.45,1860.059694887509992767,210152,10938,390895265.00,39907,18.99,31.10,3.10
28-November-2024,1918.95,1918.95,1852.55,1857.45,1871.249857084524295630,122450,6898,229134545.00,49536,40.45,66.40,-61.50
27-November-2024,1939.95,1940.65,1912.50,1924.10,1926.391516397271792955,53515,3299,103090842.00,17435,32.58,28.15,-15.85
26-November-2024,1901.45,1938.70,1899.15,1921.85,1927.035375408480648844,101596,5274,195779086.00,35372,34.82,39.55,20.40
25-November-2024,1910.50,1919.00,1882.20,1889.15,1892.066137057093378047,181895,8916,344157370.00,94704,52.07,36.80,-21.35
22-November-2024,1849.35,1913.90,1834.25,1902.95,1882.782430335510959850,383445,18595,721943509.00,140173,36.56,79.65,53.60
21-November-2024,1839.95,1866.60,1820.50,1834.20,1839.967529331341997131,134583,9705,247628350.00,51830,38.51,46.10,-5.75
19-November-2024,1822.05,1860.00,1822.05,1825.55,1839.912917741256703823,92671,5864,170506570.00,41997,45.32,37.95,3.50
18-November-2024,1863.95,1863.95,1795.75,1811.40,1814.466796338672768878,131100,6786,237876597.00,66906,51.03,68.20,-52.55
14-November-2024,1869.65,1876.05,1856.45,1864.00,1865.072227897366681612,216343,14314,403495321.00,49152,22.72,19.60,-5.65
13-November-2024,1865.95,1873.45,1857.00,1868.30,1866.731054562202885200,60793,4076,113484181.00,25496,41.94,16.45,2.35
12-November-2024,1863.00,1881.25,1861.10,1867.95,1871.512152373649546083,73031,4101,136678404.00,25477,34.89,20.15,4.95
11-November-2024,1820.55,1867.80,1820.55,1860.00,1852.709877253327504687,173854,11312,322101023.00,86537,49.78,47.25,39.45
8-November-2024,1815.95,1840.00,1813.10,1831.05,1831.648435147977014804,152794,7543,279864891.00,44030,28.82,26.90,15.10
7-November-2024,1819.85,1825.10,1786.65,1802.65,1805.028342128003824302,108778,7197,196347373.00,32218,29.62,38.45,-17.20
6-November-2024,1765.00,1827.00,1763.50,1824.30,1756.974676745765542134,2491228,7751,4377024510.00,2362466,94.83,63.50,59.30
5-November-2024,1763.75,1768.25,1745.10,1753.80,1753.963299802489550319,87084,7082,152742140.00,36381,41.78,23.15,-9.95
4-November-2024,1728.95,1768.25,1718.50,1764.90,1742.136190424196101981,183170,12641,319107086.00,75329,41.13,49.75,35.95
1-November-2024,1763.00,1766.30,1754.40,1761.60,1762.099176578225068618,16395,2210,28889616.00,8963,54.67,11.90,-1.40
31-October-2024,1797.00,1797.00,1747.20,1757.15,1759.455940554074792020,272382,14317,479244128.00,53219,19.54,49.80,-39.85
30-October-2024,1834.95,1839.85,1797.00,1801.75,1816.594299621145595503,79714,4763,144807998.00,29246,36.69,42.85,-33.20
29-October-2024,1847.00,1851.60,1828.90,1838.75,1840.229324967494900576,83833,6388,154271945.00,29504,35.19,22.70,-8.25
28-October-2024,1855.05,1881.10,1855.05,1866.25,1873.800981467452142154,176878,8051,331434170.00,130187,73.60,26.05,11.20
25-October-2024,1868.75,1876.00,1845.65,1853.25,1859.431185662717914577,298913,19155,555808154.00,98937,33.10,30.35,-15.50
24-October-2024,1872.05,1883.70,1860.10,1864.40,1866.415393939393939393,66000,3189,123183416.00,35763,54.19,23.60,-7.65
23-October-2024,1842.35,1885.50,1842.35,1872.85,1872.102625609469924125,115059,5027,215402256.00,48530,42.18,43.15,30.50
22-October-2024,1846.05,1877.70,1846.05,1850.95,1859.796179003758842158,67574,5907,125673867.00,21317,31.55,31.65,4.90
21-October-2024,1899.40,1899.40,1838.10,1852.50,1854.214549409769986243,156295,8501,289804463.00,71912,46.01,61.30,-46.90
18-October-2024,1905.00,1936.80,1870.00,1878.85,1890.719920223793647547,532991,26388,1007736701.00,187871,35.25,66.80,-26.15
17-October-2024,1930.00,1978.00,1930.00,1969.50,1952.190717974446703609,265093,9698,517512094.00,133613,50.40,48.00,39.50
16-October-2024,1958.95,1960.10,1916.30,1919.90,1937.195681449514889970,65346,4392,126587989.00,22286,34.10,43.80,-39.05
15-October-2024,1964.95,1990.90,1952.00,1959.10,1961.843174690382986516,218415,7927,428495977.00,130197,59.61,38.90,-5.85
